Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
4,0,18,11,27,28
2,11,6,13,3,28
3,10,6,13,4,29
4,9,5,13,5,28
5,8,4,14,6,29
6,7,5,13,7,28
7,6,5,13,8,29
8,5,6,13,9,28
9,4,7,13,10,29
10,3,6,13,11,28
11,2,7,14,12,29
12,1,6,13,13,28
13,0,6,12,14,29
12,0,7,13,15,28
11,0,6,14,16,29
10,0,5,14,17,28
9,0,6,13,18,29
8,0,6,13,19,28
7,0,6,13,20,29
6,0,6,12,21,28
5,0,6,11,22,29
4,0,7,11,23,28
3,0,7,11,24,29
2,0,7,10,25,28
3,1,8,10,26,29
4,0,8,9,27,28
3,0,9,8,28,29
2,0,8,7,27,28
3,1,8,7,28,29
4,0,9,8,27,28
3,0,10,9,28,29
2,0,9,8,27,28
3,1,8,8,28,29
4,0,9,8,27,28
3,0,9,9,28,29
2,0,10,9,27,28
3,1,9,10,28,29
4,0,9,11,27,28
3,0,9,11,28,29
2,0,10,10,27,28
3,1,9,9,28,29
4,0,10,9,27,28
3,0,11,9,28,29
2,0,11,10,27,28
3,1,12,9,28,29
4,0,11,10,27,28
3,0,12,11,28,29
2,0,12,10,27,28
3,1,13,10,28,29
4,0,13,11,27,28
3,0,12,11,28,29
2,0,11,10,27,28
3,1,10,10,28,29
4,0,11,10,27,28
3,0,10,9,28,29
2,0,11,8,27,28
3,1,10,9,28,29
4,0,9,8,27,28
3,0,10,9,28,29
2,0,11,10,27,28
3,1,10,10,28,29
4,0,11,10,27,28
3,0,10,11,28,29
2,0,11,10,27,28
3,1,12,11,28,29
4,0,12,10,27,28
3,0,13,10,28,29
2,0,14,10,27,28
3,1,14,10,28,29
4,0,14,9,27,28
3,0,13,9,28,29
2,0,14,8,27,28
3,1,14,9,28,29
4,0,13,8,27,28
3,0,14,9,28,29
2,0,13,9,27,28
3,1,13,8,28,29
4,0,12,9,27,28
3,0,13,8,28,29
2,0,12,9,27,28
3,1,12,8,28,29
4,0,11,9,27,28
3,0,11,10,28,29
2,0,10,11,27,28
3,1,11,12,28,29
4,0,12,12,27,28
3,0,11,13,28,29
2,0,11,13,27,28
3,1,10,13,28,29
4,0,9,13,27,28
3,0,9,12,28,29
2,0,10,11,27,28
3,1,11,10,28,29
4,0,12,9,27,28
3,0,12,8,28,29
2,0,12,7,27,28
3,1,11,8,28,29
4,0,10,9,27,28
3,0,10,8,28,29
2,0,10,7,27,28
3,1,11,8,28,29
4,0,11,8,27,28
3,0,10,9,28,29
2,0,11,8,27,28
3,1,12,7,28,29
4,0,13,8,27,28
3,0,14,9,28,29
2,0,15,10,27,28
3,1,15,11,28,29
4,0,15,11,27,28
3,0,15,10,28,29
2,0,16,10,27,28
3,1,17,11,28,29
4,0,18,11,27,28
